"","Symbol","Score","X3.Months.Perf","2020-11-09","2020-11-10","2020-11-11","2020-11-12","2020-11-13","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-23","2020-11-24","2020-11-25","2020-11-27","2020-11-30","2020-12-01","2020-12-02","2020-12-03","2020-12-04","2020-12-07","2020-12-08","2020-12-09","2020-12-10","2020-12-11","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","2020-12-21","2020-12-22","2020-12-23","2020-12-24","2020-12-28","2020-12-29","2020-12-30","2020-12-31","2021-01-04","2021-01-05","2021-01-06","2021-01-07","2021-01-08","2021-01-11","2021-01-12","2021-01-13","2021-01-14","2021-01-15","2021-01-19","2021-01-20","2021-01-21","2021-01-22","2021-01-25","2021-01-26","2021-01-27","2021-01-28","2021-01-29","2021-02-01","2021-02-02","2021-02-03","2021-02-04","2021-02-05"
"1","AMC",100,576.93,3.77,3.51,3.13,2.94,2.97,3.11,2.98,3.26,3.19,3.35,3.81,4.58,4.49,4.45,4.27,4.15,4.32,3.63,3.51,3.56,3.98,3.86,4.09,3.92,3.19,2.86,2.78,2.85,2.8,2.68,2.59,2.56,2.51,2.39,2.29,2.16,2.12,2.01,1.98,2.01,2.05,2.14,2.2,2.29,2.18,2.18,2.33,3.06,2.97,2.98,3.51,4.42,4.96,19.9,8.63,13.26,13.3,7.82,8.97,7.09,6.83
"2","BNGO",99.999,4225.29,0.5,0.53,0.56,0.57,0.52,0.5,0.53,0.51,0.51,0.52,0.5,0.49,0.49,0.49,0.49,0.5,0.49,0.5,0.5,0.53,0.52,0.51,0.5,0.5,0.5,0.51,0.51,0.53,0.54,0.56,0.55,0.78,0.71,0.88,1.33,2.1,3.08,7.2,4.95,4.77,5,4.7,5.67,5.36,5.63,6.95,8.43,9.14,8.05,8.27,9.8,12.58,12.21,11.04,10.53,11.05,10.76,12.02,11.85,11.18,11.05
"3","BTBT",99.998,386.13,3.56,3.88,3.81,4.16,4.34,5.41,5.97,5.64,6.2,6.1,6.17,6.31,7.27,6.32,8.07,7.98,7.77,7.45,6.35,6.32,5.85,5.69,5.92,5.96,6.02,6.16,5.05,5.51,5.56,6.25,6.49,5.95,5.79,10.49,10.56,15.15,21.91,29.27,28,25.73,24.790001,25.030001,18.76,19.65,18.16,18.120001,16.66,16.459999,16.719999,16.360001,17.469999,16.370001,17.66,16.110001,19.540001,19.42,18.219999,18.540001,18.549999,18.99,17.51
"4","GEVO",99.998,2095.2,1.06,1.06,1.02,0.98,1,1.03,1.07,1.09,1.28,1.35,2.13,2.1,1.95,2.13,2,1.89,1.88,1.79,1.81,1.67,1.83,1.71,1.74,1.8,2.08,1.9,2.17,2.33,2.39,2.86,2.87,2.91,3.7,4.82,4.62,4,4.25,4.33,4.31,4.39,4.48,4.4,5.05,6.06,6.99,6.8,6.4,11.03,8.67,9.3,10.51,13.24,12.67,11.73,11.09,10.16,11.09,11.02,12.24,11.76,11.55
"5","GME",100,479.11,11.49,11.1,11.75,11.13,11.01,12.06,11.63,11.57,12.46,12.71,13.9,13.67,14.75,16.08,16.559999,15.8,16.58,16.120001,16.9,16.35,16.940001,13.66,14.12,13.31,12.72,13.85,13.85,14.83,15.63,15.53,19.459999,20.57,20.15,20.99,19.379999,19.26,18.84,17.25,17.370001,18.360001,18.08,17.690001,19.940001,19.950001,31.4,39.91,35.5,39.360001,39.119999,43.029999,65.010002,76.790001,147.979996,347.51001,193.600006,325,225,90,92.410004,53.5,63.77
"6","KODK",99.998,62.64,6.68,6.68,6.63,6.73,6.71,6.88,7.23,7.1,7.49,7.21,7.23,6.97,7.96,7.46,7.63,7.22,7.25,7.23,7.53,12.04,11.15,9.66,10,10.1,9.69,9.55,9.34,9.78,9.59,9.43,9.52,9.36,8.72,8.37,8.27,8.62,8.14,8.17,8.26,8.16,8.59,8.4,8.12,8.05,7.99,8.33,8.14,8.84,9.03,9.19,9.46,9.55,9.43,12.08,9.87,9.59,10.02,9.44,10.98,10.74,10.72
"7","OCGN",99.999,1775,0.291,0.308,0.298,0.291,0.288,0.284,0.291,0.306,0.319,0.312,0.297,0.289,0.292,0.299,0.319,0.34,0.319,0.303,0.31,0.305,0.303,0.296,0.291,0.305,0.295,0.297,0.3,0.299,0.294,0.294,0.805,2.6,1.76,2.25,2.17,1.97,1.83,3.07,2.77,2.61,2.8,2.69,2.49,2.23,2.5,2.18,2.22,2.34,2.23,2.25,2.18,2.08,1.92,1.66,1.82,1.77,1.81,3.26,2.81,3.25,5.25
"8","SENS",99.998,930.51,0.441,0.406,0.404,0.395,0.39,0.383,0.38,0.384,0.372,0.371,0.362,0.359,0.37,0.369,0.37,0.389,0.386,0.404,0.43,0.401,0.4,0.41,0.418,0.421,0.42,0.419,0.429,0.429,0.413,0.43,0.43,0.647,0.91,0.95,0.868,0.89,0.872,0.93,0.95,0.898,0.88,0.867,0.851,0.873,0.89,1.2,1.58,2.85,2.67,2.42,2.31,2.95,2.84,2.51,2.44,2.37,2.69,2.74,2.73,2.67,3.03
"9","SNDL",100,2500.01,0.459,0.438,0.386,0.284,0.28,0.262,0.25,0.259,0.263,0.255,0.241,0.301,0.28,0.372,0.729,0.653,0.808,0.773,0.664,0.524,0.511,0.49,0.475,0.506,0.513,0.5,0.479,0.439,0.436,0.505,0.48,0.5,0.473,0.477,0.462,0.485,0.474,0.55,0.54,0.605,0.685,0.682,0.709,0.668,0.658,0.69,0.714,0.69,0.681,0.661,0.645,0.6,0.56,0.601,0.825,0.815,1.21,1.04,1.21,1.15,1.13
"10","VXRT",99.999,50.39,3.5,3.89,4.61,5.31,5.07,5.57,5.67,5.7,5.91,6.4,7.12,6.26,6.4,7.03,7.98,7.65,7.28,7.72,7.8,7.7,7.73,7.41,7.46,7.44,7.72,7.75,7.5,7.6,7.37,7.65,7.14,7.02,6.78,6.33,5.72,5.98,5.71,6.33,6.52,6.49,6.73,6.55,6.29,6.65,6.78,7.34,7.18,6.91,7.05,6.96,7.14,10.05,9.38,9.3,8.92,11.98,15.57,23.33,9.85,9.05,7.7
